period,org_code,parent_org,org_name,ae_attendances_type_1,ae_attendances_type_2,ae_attendances_other,booked_ae_type_1,booked_ae_type_2,booked_ae_other,over_4hrs_type_1,over_4hrs_type_2,over_4hrs_other,over_4hrs_booked_type_1,over_4hrs_booked_type_2,over_4hrs_booked_other,dta_4_12hr_waits,dta_12hr_plus_waits,emergency_admissions_type_1,emergency_admissions_type_2,emergency_admissions_other_ae,other_emergency_admissions,source_file,total_ae_attendances,total_over_4hrs,total_emergency_admissions,over_4hrs_rate,admission_rate,over_4hrs_rate_pct,admission_rate_pct,reporting_month,performance_risk
MSitAE-APRIL-2022,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,5536,0,0,139,0,0,2236,0,0,31,0,0,179,270,1257,0,0,388,April-2022-revised-130624-F4scP.csv,5675,2267,1645,0.3994713656387665,0.28986784140969163,39.95,28.99,April-2022,High Pressure
MSitAE-APRIL-2022,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3426,0,0,252,0,0,219,0,0,28,0,0,0,0,0,0,April-2022-revised-130624-F4scP.csv,3678,247,0,0.06715606307775965,0.0,6.72,0.0,April-2022,Lower Pressure
MSitAE-APRIL-2022,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2022-revised-130624-F4scP.csv,312,0,0,0.0,0.0,0.0,0.0,April-2022,Lower Pressure
MSitAE-APRIL-2022,C82010,NHS ENGLAND MIDLANDS ,OAKHAM MEDICAL PRACTICE,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2022-revised-130624-F4scP.csv,208,0,0,0.0,0.0,0.0,0.0,April-2022,Lower Pressure
MSitAE-APRIL-2022,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,April-2022-revised-130624-F4scP.csv,509,0,9,0.0,0.01768172888015717,0.0,1.77,April-2022,Lower Pressure
MSitAE-APRIL-2022,NJS05,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,4485,0,0,493,0,0,467,0,0,0,0,0,0,0,0,0,April-2022-revised-130624-F4scP.csv,4978,467,0,0.09381277621534753,0.0,9.38,0.0,April-2022,Lower Pressure
MSitAE-APRIL-2022,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,4619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2022-revised-130624-F4scP.csv,4619,0,0,0.0,0.0,0.0,0.0,April-2022,Lower Pressure
MSitAE-APRIL-2022,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,153,0,0,1424,0,0,0,0,0,0,0,0,0,0,0,0,April-2022-revised-130624-F4scP.csv,1577,0,0,0.0,0.0,0.0,0.0,April-2022,Lower Pressure
MSitAE-APRIL-2022,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,121,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,April-2022-revised-130624-F4scP.csv,465,0,0,0.0,0.0,0.0,0.0,April-2022,Lower Pressure
MSitAE-APRIL-2022,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,24,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,April-2022-revised-130624-F4scP.csv,148,0,0,0.0,0.0,0.0,0.0,April-2022,Lower Pressure
MSitAE-APRIL-2022,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,525,0,0,1907,0,0,0,0,0,0,0,0,0,0,0,0,April-2022-revised-130624-F4scP.csv,2432,0,0,0.0,0.0,0.0,0.0,April-2022,Lower Pressure
MSitAE-APRIL-2022,NNJ15,NHS ENGLAND MIDLANDS ,OAKHAM,0,0,59,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,April-2022-revised-130624-F4scP.csv,459,0,0,0.0,0.0,0.0,0.0,April-2022,Lower Pressure
MSitAE-APRIL-2022,NQT10,NHS ENGLAND SOUTH EAST ,ASSURA READING LLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2022-revised-130624-F4scP.csv,0,0,0,0.0,0.0,0.0,0.0,April-2022,Lower Pressure
MSitAE-APRIL-2022,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1540,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,April-2022-revised-130624-F4scP.csv,1540,25,0,0.016233766233766232,0.0,1.62,0.0,April-2022,Lower Pressure
MSitAE-APRIL-2022,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,672,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,April-2022-revised-130624-F4scP.csv,672,13,0,0.019345238095238096,0.0,1.93,0.0,April-2022,Lower Pressure
MSitAE-APRIL-2022,RAX,NHS ENGLAND LONDON,KINGSTON HOSPITAL NHS FOUNDATION TRUST,7012,0,2819,205,0,70,2796,0,93,59,0,3,493,180,2206,0,209,455,April-2022-revised-130624-F4scP.csv,10106,2951,2870,0.29200474965367107,0.2839897090837126,29.2,28.4,April-2022,Moderate Pressure
MSitAE-APRIL-2022,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5851,0,1199,177,0,1,2124,0,3,50,0,1,462,306,1484,0,0,420,April-2022-revised-130624-F4scP.csv,7228,2178,1904,0.30132816823464303,0.2634200332042059,30.13,26.34,April-2022,High Pressure
